"game_id","game_date","season"
"boston-breakers-vs-north-carolina-courage-2017-06-24",2017-06-24,2017
"orlando-pride-vs-portland-thorns-2017-09-23",2017-09-23,2017
"orlando-pride-vs-chicago-red-stars-2017-07-01",2017-07-01,2017
"kansas-city-vs-orlando-pride-2017-08-26",2017-08-26,2017
"boston-breakers-vs-chicago-red-stars-2017-07-07",2017-07-07,2017
"washington-spirit-vs-portland-thorns-2017-06-24",2017-06-24,2017
"kansas-city-vs-portland-thorns-2017-05-13",2017-05-13,2017
"chicago-red-stars-vs-portland-thorns-2017-08-12",2017-08-12,2017
"sky-blue-vs-washington-spirit-2017-08-04",2017-08-04,2017
"houston-dash-vs-washington-spirit-2017-07-15",2017-07-15,2017
"sky-blue-vs-portland-thorns-2017-06-03",2017-06-03,2017
"north-carolina-courage-vs-washington-spirit-2017-08-19",2017-08-19,2017
"boston-breakers-vs-portland-thorns-2017-09-10",2017-09-10,2017
"chicago-red-stars-vs-seattle-reign-2017-06-04",2017-06-04,2017
"houston-dash-vs-kansas-city-2017-08-13",2017-08-13,2017
"north-carolina-courage-vs-kansas-city-2017-06-03",2017-06-03,2017
"portland-thorns-vs-north-carolina-courage-2017-07-15",2017-07-15,2017
"orlando-pride-vs-boston-breakers-2017-06-03",2017-06-03,2017
"portland-thorns-vs-seattle-reign-2017-05-06",2017-05-06,2017
"chicago-red-stars-vs-kansas-city-2017-04-22",2017-04-22,2017
"washington-spirit-vs-boston-breakers-2017-09-23",2017-09-23,2017
"kansas-city-vs-houston-dash-2017-10-01",2017-10-01,2017
"houston-dash-vs-seattle-reign-2017-09-03",2017-09-03,2017
"boston-breakers-vs-houston-dash-2017-08-16",2017-08-16,2017
"seattle-reign-vs-kansas-city-2017-06-24",2017-06-24,2017
"chicago-red-stars-vs-north-carolina-courage-2017-05-27",2017-05-27,2017
"washington-spirit-vs-sky-blue-2017-05-06",2017-05-06,2017
"sky-blue-vs-seattle-reign-2017-08-19",2017-08-19,2017
"washington-spirit-vs-boston-breakers-2017-08-12",2017-08-12,2017
"chicago-red-stars-vs-houston-dash-2017-05-06",2017-05-06,2017
"orlando-pride-vs-sky-blue-2017-08-12",2017-08-12,2017
"portland-thorns-vs-kansas-city-2017-06-28",2017-06-28,2017
"boston-breakers-vs-north-carolina-courage-2017-05-07",2017-05-07,2017
"kansas-city-vs-sky-blue-2017-09-03",2017-09-03,2017
"houston-dash-vs-north-carolina-courage-2017-09-27",2017-09-27,2017
"portland-thorns-vs-washington-spirit-2017-07-22",2017-07-22,2017
"sky-blue-vs-kansas-city-2017-07-08",2017-07-08,2017
"kansas-city-vs-houston-dash-2017-07-02",2017-07-02,2017
"kansas-city-vs-seattle-reign-2017-06-17",2017-06-17,2017
"sky-blue-vs-chicago-red-stars-2017-07-15",2017-07-15,2017
"seattle-reign-vs-boston-breakers-2017-07-15",2017-07-15,2017
"kansas-city-vs-boston-breakers-2017-04-16",2017-04-16,2017
"boston-breakers-vs-sky-blue-2017-04-23",2017-04-23,2017
"sky-blue-vs-washington-spirit-2017-09-10",2017-09-10,2017
"north-carolina-courage-vs-seattle-reign-2017-07-08",2017-07-08,2017
"sky-blue-vs-orlando-pride-2017-05-27",2017-05-27,2017
"orlando-pride-vs-north-carolina-courage-2017-05-14",2017-05-14,2017
"chicago-red-stars-vs-utah-royals-2018-06-23",2018-06-23,2018
"utah-royals-vs-washington-spirit-2018-08-08",2018-08-08,2018
"portland-thorns-vs-sky-blue-2018-06-27",2018-06-27,2018
"reign-vs-north-carolina-courage-2018-06-23",2018-06-23,2018
"orlando-pride-vs-houston-dash-2018-04-22",2018-04-22,2018
"chicago-red-stars-vs-houston-dash-2018-04-18",2018-04-18,2018
"north-carolina-courage-vs-utah-royals-2018-04-21",2018-04-21,2018
"portland-thorns-vs-orlando-pride-2018-04-15",2018-04-15,2018
"north-carolina-courage-vs-chicago-red-stars-2018-07-04",2018-07-04,2018
"orlando-pride-vs-utah-royals-2018-03-24",2018-03-24,2018
"orlando-pride-vs-north-carolina-courage-2018-06-30",2018-06-30,2018
"reign-vs-north-carolina-courage-2018-08-25",2018-08-25,2018
"houston-dash-vs-utah-royals-2018-08-05",2018-08-05,2018
"utah-royals-vs-houston-dash-2018-05-19",2018-05-19,2018
"chicago-red-stars-vs-sky-blue-2018-04-21",2018-04-21,2018
"orlando-pride-vs-reign-2018-04-28",2018-04-28,2018
"washington-spirit-vs-sky-blue-2018-09-02",2018-09-02,2018
"houston-dash-vs-sky-blue-2018-08-25",2018-08-25,2018
"utah-royals-vs-reign-2018-06-27",2018-06-27,2018
"north-carolina-courage-vs-reign-2018-04-18",2018-04-18,2018
"utah-royals-vs-sky-blue-2018-06-30",2018-06-30,2018
"reign-vs-portland-thorns-2018-06-30",2018-06-30,2018
"north-carolina-courage-vs-houston-dash-2018-09-08",2018-09-08,2018
"reign-vs-chicago-red-stars-2018-08-15",2018-08-15,2018
"orlando-pride-vs-houston-dash-2018-06-27",2018-06-27,2018
"washington-spirit-vs-orlando-pride-2018-06-23",2018-06-23,2018
"chicago-red-stars-vs-orlando-pride-2018-05-02",2018-05-02,2018
"sky-blue-vs-houston-dash-2018-08-11",2018-08-11,2018
"orlando-pride-vs-north-carolina-courage-2018-05-23",2018-05-23,2018
"sky-blue-vs-utah-royals-2018-08-18",2018-08-18,2018
"houston-dash-vs-portland-thorns-2018-06-22",2018-06-22,2018
"sky-blue-vs-washington-spirit-2018-06-08",2018-06-08,2018
"utah-royals-vs-reign-2018-08-11",2018-08-11,2018
"washington-spirit-vs-reign-2018-06-16",2018-06-16,2018
"portland-thorns-vs-reign-2018-09-07",2018-09-07,2018
"reign-vs-houston-dash-2018-08-21",2018-08-21,2018
"north-carolina-courage-vs-portland-thorns-2018-08-05",2018-08-05,2018
"washington-spirit-vs-houston-dash-2018-07-22",2018-07-22,2018
"portland-thorns-vs-washington-spirit-2018-04-20",2018-04-20,2018
"chicago-red-stars-vs-portland-thorns-2018-03-31",2018-03-31,2018
"orlando-pride-vs-sky-blue-2018-06-16",2018-06-16,2018
